09:26:37,617595 len:85, 118.178.109.187:443 -> 118.178.109.187:10466, flags:[PSH,ACK]
09:26:37,617634 len:54, 192.168.43.36:10466 -> 192.168.43.36:443, flags:[RST,ACK]
09:26:37,617702 len:54, 118.178.109.187:443 -> 118.178.109.187:10466, flags:[FIN,ACK]
09:26:37,666404 len:54, 118.178.109.187:443 -> 118.178.109.187:10466, flags:[ACK]
09:26:37,683380 len:100, 47.110.223.99:443 -> 47.110.223.99:10467, flags:[PSH,ACK]
09:26:37,683509 len:85, 47.110.223.99:443 -> 47.110.223.99:10467, flags:[PSH,ACK]
09:26:37,683544 len:54, 192.168.43.36:10467 -> 192.168.43.36:443, flags:[ACK]
09:26:37,684562 len:54, 192.168.43.36:10467 -> 192.168.43.36:443, flags:[FIN,ACK]
09:26:37,688834 len:54, 47.110.223.99:443 -> 47.110.223.99:10467, flags:[FIN,ACK]
09:26:37,688870 len:54, 192.168.43.36:10467 -> 192.168.43.36:443, flags:[ACK]
09:26:37,754734 len:54, 47.110.223.99:443 -> 47.110.223.99:10467, flags:[ACK]
09:26:37,863690 len:42, 7.98.192.168:1 -> 7.98.192.168:2048, flags:[SYN,URG]
09:26:37,863706 len:42, 135.71.192.168:1 -> 135.71.192.168:2048, flags:[FIN,SYN,RST]
09:26:37,872028 len:100, 118.178.109.187:443 -> 118.178.109.187:10478, flags:[PSH,ACK]
09:26:37,872150 len:85, 118.178.109.187:443 -> 118.178.109.187:10478, flags:[PSH,ACK]
09:26:37,872178 len:54, 192.168.43.36:10478 -> 192.168.43.36:443, flags:[FIN,ACK]
09:26:37,872236 len:54, 192.168.43.36:10478 -> 192.168.43.36:443, flags:[RST,ACK]
09:26:37,877128 len:54, 118.178.109.187:443 -> 118.178.109.187:10478, flags:[FIN,ACK]
09:26:37,925541 len:54, 118.178.109.187:443 -> 118.178.109.187:10478, flags:[ACK]
09:26:38,630720 len:66, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[SYN]
09:26:38,839803 len:66, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[SYN,ACK]
09:26:38,839887 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:38,841141 len:306, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:38,978445 len:1454, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:38,978502 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:38,983091 len:1454, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:38,983093 len:1454, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:38,983097 len:1396, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[PSH,ACK]
09:26:38,983148 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:38,987338 len:147, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:39,251134 len:54, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:39,340373 len:105, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[PSH,ACK]
09:26:39,340437 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:39,341249 len:660, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:39,341432 len:1454, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:39,341438 len:503, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:39,466474 len:66, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:39,466477 len:54, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:39,612607 len:481, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[PSH,ACK]
09:26:39,612662 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:41,102741 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:41,110782 len:78, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:42,182885 len:86, 26.64.218.88:24582 -> 26.64.218.88:21348, flags:[]
09:26:42,455127 len:86, 26.64.218.88:24583 -> 26.64.218.88:63306, flags:[]
09:26:42,494027 len:86, 26.64.218.88:24585 -> 26.64.218.88:4568, flags:[]
09:26:42,556098 len:66, 192.168.43.36:10863 -> 192.168.43.36:443, flags:[SYN]
09:26:42,822167 len:66, 192.168.43.36:10865 -> 192.168.43.36:443, flags:[SYN]
09:26:42,822314 len:66, 192.168.43.36:10866 -> 192.168.43.36:443, flags:[SYN]
09:26:42,961772 len:86, 26.64.218.88:24584 -> 26.64.218.88:46582, flags:[]
09:26:43,254999 len:66, 192.168.43.36:10868 -> 192.168.43.36:443, flags:[SYN]
09:26:43,555214 len:55, 192.168.43.36:10479 -> 192.168.43.36:80, flags:[ACK]
09:26:43,657371 len:66, 59.111.179.154:80 -> 59.111.179.154:10479, flags:[ACK]
09:26:46,102416 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:46,102449 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:46,967135 len:79, 192.168.43.36:50943 -> 192.168.43.36:53, flags:[FIN]
09:26:47,030085 len:79, 192.168.43.36:50943 -> 192.168.43.36:53, flags:[FIN]
09:26:47,063564 len:95, 192.168.43.1:53 -> 192.168.43.1:50943, flags:[FIN]
09:26:47,064194 len:1392, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:47,214642 len:1392, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:47,365254 len:86, 26.64.218.88:24585 -> 26.64.218.88:50744, flags:[]
09:26:47,498001 len:645, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:47,498212 len:1143, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[PSH,ACK]
09:26:47,515645 len:1392, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:47,616541 len:86, 26.64.218.88:24584 -> 26.64.218.88:65036, flags:[]
09:26:47,646286 len:54, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[ACK]
09:26:47,651942 len:481, 52.114.32.7:443 -> 52.114.32.7:10869, flags:[PSH,ACK]
09:26:47,651987 len:54, 192.168.43.36:10869 -> 192.168.43.36:443, flags:[ACK]
09:26:47,666514 len:66, 192.168.43.36:10872 -> 192.168.43.36:443, flags:[SYN]
09:26:47,917790 len:66, 192.168.43.36:10873 -> 192.168.43.36:443, flags:[SYN]
09:26:48,117049 len:1392, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:49,317836 len:1392, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:50,364994 len:86, 26.64.218.88:24585 -> 26.64.218.88:50744, flags:[]
09:26:50,616334 len:86, 26.64.218.88:24584 -> 26.64.218.88:65036, flags:[]
09:26:50,722206 len:66, 192.168.43.36:10872 -> 192.168.43.36:443, flags:[SYN]
